Sample,Timestamp,x,y,z,millis
0,1632271659285,6.83,6.42,1.22,572810.0
1,1632271659291,6.88,6.41,1.2,572821.0
2,1632271659291,6.9,6.44,1.2,572833.0
3,1632271659296,6.87,6.43,1.18,572845.0
4,1632271659307,6.84,6.37,1.16,572857.0
5,1632271659320,6.78,6.32,1.17,572869.0
6,1632271659332,6.81,6.34,1.14,572880.0
7,1632271659343,6.84,6.35,1.14,572892.0
8,1632271659355,6.83,6.34,1.14,572904.0
9,1632271659366,6.85,6.39,1.16,572916.0
10,1632271659379,6.8,6.47,1.16,572927.0
11,1632271659390,6.74,6.48,1.12,572939.0
12,1632271659403,6.67,6.51,1.05,572951.0
13,1632271659414,6.66,6.53,1.0,572963.0
14,1632271659425,6.71,6.53,0.99,572975.0
15,1632271659437,6.71,6.52,1.02,572986.0
16,1632271659449,6.69,6.48,1.03,572998.0
17,1632271659461,6.64,6.47,1.03,573010.0
18,1632271659473,6.59,6.42,1.05,573022.0
19,1632271659484,6.55,6.41,1.1,573034.0
20,1632271659497,6.53,6.41,1.12,573045.0
21,1632271659509,6.57,6.43,1.12,573057.0
22,1632271659520,6.59,6.37,1.18,573069.0
23,1632271659531,6.63,6.36,1.15,573081.0
24,1632271659546,6.63,6.42,1.15,573093.0
25,1632271659556,6.64,6.47,1.1,573104.0
26,1632271659568,6.64,6.49,1.1,573116.0
27,1632271659580,6.62,6.55,1.08,573128.0
28,1632271659590,6.65,6.53,1.09,573140.0
29,1632271659603,6.65,6.47,1.09,573152.0
30,1632271659614,6.62,6.42,1.09,573163.0
31,1632271659626,6.66,6.43,1.09,573175.0
32,1632271659638,6.63,6.44,1.13,573187.0
33,1632271659650,6.63,6.39,1.15,573199.0
34,1632271659661,6.59,6.39,1.19,573211.0
35,1632271659674,6.69,6.35,1.14,573222.0
36,1632271659685,6.81,6.34,1.13,573234.0
37,1632271659697,6.9,6.35,1.15,573246.0
38,1632271659708,6.97,6.37,1.15,573258.0
39,1632271659721,7.02,6.36,1.16,573270.0
40,1632271659732,7.03,6.32,1.13,573281.0
41,1632271659744,7.05,6.28,1.1,573293.0
42,1632271659756,7.05,6.29,1.06,573305.0
43,1632271659767,7.05,6.29,1.02,573317.0
44,1632271659779,7.06,6.31,1.04,573328.0
45,1632271659792,7.05,6.34,1.05,573340.0
46,1632271659804,7.07,6.32,1.05,573352.0
47,1632271659816,7.09,6.3,1.03,573364.0
48,1632271659827,7.06,6.36,0.98,573376.0
49,1632271659838,7.03,6.41,1.02,573387.0
50,1632271659851,7.01,6.41,1.02,573399.0
51,1632271659863,6.94,6.4,1.06,573411.0
52,1632271659874,6.94,6.36,1.07,573423.0
53,1632271659885,6.86,6.34,1.08,573435.0
54,1632271659897,6.8,6.35,1.08,573446.0
55,1632271659910,6.74,6.39,1.08,573458.0
56,1632271659921,6.67,6.43,1.14,573470.0
57,1632271659933,6.67,6.49,1.14,573482.0
58,1632271659945,6.67,6.49,1.15,573494.0
59,1632271659956,6.69,6.47,1.16,573505.0
60,1632271659968,6.73,6.5,1.19,573517.0
61,1632271659980,6.73,6.57,1.19,573529.0
62,1632271659991,6.77,6.57,1.2,573541.0
63,1632271660004,6.75,6.55,1.19,573553.0
64,1632271660016,6.75,6.5,1.16,573564.0
65,1632271660027,6.74,6.45,1.12,573576.0
66,1632271660040,6.72,6.41,1.14,573588.0
67,1632271660050,6.7,6.39,1.11,573600.0
68,1632271660063,6.67,6.42,1.12,573612.0
69,1632271660074,6.67,6.45,1.12,573623.0
70,1632271660086,6.68,6.41,1.1,573635.0
71,1632271660098,6.67,6.41,1.06,573647.0
72,1632271660108,6.64,6.37,1.04,573659.0
73,1632271660121,6.67,6.33,1.06,573671.0
74,1632271660133,6.69,6.29,1.1,573682.0
75,1632271660145,6.71,6.36,1.12,573694.0
76,1632271660157,6.7,6.37,1.12,573706.0
77,1632271660169,6.66,6.3,1.09,573718.0
78,1632271660181,6.66,6.24,1.09,573729.0
79,1632271660193,6.68,6.24,1.17,573741.0
80,1632271660204,6.71,6.31,1.24,573753.0
81,1632271660217,6.71,6.37,1.28,573765.0
82,1632271660227,6.71,6.38,1.28,573777.0
83,1632271660239,6.75,6.44,1.23,573788.0
84,1632271660251,6.75,6.42,1.21,573800.0
85,1632271660263,6.78,6.35,1.21,573812.0
86,1632271660275,6.78,6.35,1.2,573824.0
87,1632271660286,6.8,6.42,1.18,573836.0
88,1632271660299,6.84,6.41,1.13,573847.0
89,1632271660310,6.82,6.38,1.13,573859.0
90,1632271660322,6.82,6.38,1.08,573871.0
91,1632271660333,6.76,6.35,1.07,573883.0
92,1632271660345,6.76,6.3,1.07,573895.0
93,1632271660357,6.79,6.29,1.03,573906.0
94,1632271660369,6.83,6.31,1.04,573918.0
95,1632271660381,6.89,6.31,1.04,573930.0
96,1632271660392,6.93,6.26,1.02,573942.0
97,1632271660405,6.94,6.29,1.02,573954.0
98,1632271660416,6.99,6.3,1.02,573965.0
99,1632271660428,6.99,6.3,1.06,573977.0
100,1632271660440,6.99,6.31,1.11,573989.0
101,1632271660452,6.95,6.32,1.11,574001.0
102,1632271660463,6.87,6.32,1.12,574013.0
103,1632271660475,6.86,6.36,1.15,574024.0
104,1632271660488,6.85,6.41,1.15,574036.0
105,1632271660499,6.85,6.44,1.15,574048.0
106,1632271660510,6.85,6.41,1.11,574060.0
107,1632271660522,6.77,6.39,1.11,574071.0
108,1632271660534,6.73,6.35,1.11,574083.0
109,1632271660546,6.73,6.35,1.11,574095.0
110,1632271660558,6.72,6.33,1.09,574107.0
111,1632271660569,6.66,6.33,1.11,574119.0
112,1632271660581,6.57,6.31,1.12,574130.0
113,1632271660593,6.58,6.26,1.15,574142.0
114,1632271660606,6.58,6.23,1.16,574154.0
115,1632271660617,6.45,6.25,1.16,574166.0
116,1632271660628,6.45,6.26,1.14,574178.0
117,1632271660641,6.53,6.32,1.13,574189.0
118,1632271660653,6.53,6.36,1.11,574201.0
119,1632271660664,6.58,6.38,1.14,574213.0
120,1632271660676,6.62,6.39,1.13,574225.0
121,1632271660687,6.72,6.38,1.12,574237.0
122,1632271660700,6.72,6.38,1.12,574248.0
123,1632271660711,6.65,6.39,1.14,574260.0
124,1632271660724,6.7,6.35,1.14,574272.0
125,1632271660734,6.73,6.32,1.13,574284.0
126,1632271660747,6.7,6.32,1.13,574296.0
127,1632271660758,6.73,6.33,1.15,574307.0
128,1632271660771,6.8,6.35,1.15,574319.0
129,1632271660782,6.85,6.35,1.16,574331.0
130,1632271660794,6.84,6.4,1.15,574343.0
131,1632271660805,6.84,6.44,1.13,574355.0
132,1632271660817,6.84,6.43,1.1,574366.0
133,1632271660829,6.84,6.43,1.13,574378.0
134,1632271660842,6.81,6.44,1.11,574390.0
135,1632271660851,6.81,6.43,1.08,574402.0
136,1632271660864,6.78,6.38,1.03,574413.0
137,1632271660877,6.75,6.37,0.97,574425.0
138,1632271660888,6.73,6.37,0.97,574437.0
139,1632271660901,6.73,6.33,0.98,574449.0
140,1632271660912,6.73,6.33,1.0,574461.0
141,1632271660923,6.76,6.38,1.03,574472.0
142,1632271660936,6.73,6.4,1.04,574484.0
143,1632271660948,6.76,6.38,1.1,574496.0
144,1632271660960,6.83,6.35,1.14,574508.0
145,1632271660971,6.84,6.42,1.14,574520.0
146,1632271660982,6.84,6.46,1.14,574531.0
147,1632271660994,6.81,6.49,1.12,574543.0
148,1632271661006,6.76,6.57,1.12,574555.0
149,1632271661019,6.67,6.54,1.15,574567.0
150,1632271661030,6.67,6.48,1.18,574579.0
151,1632271661042,6.71,6.49,1.16,574590.0
152,1632271661053,6.67,6.49,1.13,574602.0
153,1632271661065,6.67,6.49,1.15,574614.0
154,1632271661076,6.65,6.48,1.19,574626.0
155,1632271661088,6.69,6.43,1.23,574638.0
156,1632271661101,6.76,6.39,1.25,574649.0
157,1632271661112,6.76,6.39,1.25,574661.0
158,1632271661124,6.76,6.39,1.22,574673.0
159,1632271661135,6.7,6.41,1.19,574685.0
160,1632271661148,6.74,6.43,1.15,574697.0
161,1632271661160,6.72,6.46,1.16,574708.0
162,1632271661171,6.7,6.46,1.18,574720.0
163,1632271661183,6.73,6.46,1.22,574732.0
164,1632271661194,6.73,6.46,1.19,574744.0
165,1632271661207,6.72,6.46,1.17,574755.0
166,1632271661218,6.8,6.46,1.16,574767.0
167,1632271661230,6.85,6.45,1.16,574779.0
168,1632271661243,6.87,6.43,1.14,574791.0
169,1632271661253,6.88,6.42,1.12,574803.0
170,1632271661265,6.9,6.42,1.08,574814.0
171,1632271661278,6.9,6.42,1.04,574826.0
172,1632271661290,6.88,6.38,1.02,574838.0
173,1632271661302,6.87,6.38,0.97,574850.0
174,1632271661313,6.85,6.4,0.97,574862.0
175,1632271661324,6.82,6.37,0.99,574873.0
176,1632271661336,6.83,6.36,1.0,574885.0
177,1632271661348,6.84,6.38,1.05,574897.0
178,1632271661360,6.86,6.35,1.05,574909.0
179,1632271661372,6.8,6.35,1.02,574921.0
180,1632271661383,6.8,6.39,1.01,574932.0
181,1632271661395,6.79,6.43,1.01,574944.0
182,1632271661408,6.87,6.45,1.07,574956.0
183,1632271661419,6.97,6.47,1.08,574968.0
184,1632271661430,7.04,6.47,1.08,574980.0
185,1632271661443,6.97,6.45,1.12,574991.0
186,1632271661454,6.91,6.49,1.13,575003.0
187,1632271661467,6.84,6.56,1.16,575015.0
188,1632271661477,6.83,6.52,1.2,575027.0
